[19:51:12] [INFO] received Windows console close event; shutting log-core down
[20:23:44] [INFO] received Windows console close event; shutting log-core down
[20:41:28] [INFO] received Windows console close event; shutting log-core down
[20:43:04] [INFO] received Windows console close event; shutting log-core down
[20:47:14] [INFO] received Windows console close event; shutting log-core down
[21:04:15] [INFO] received Windows console close event; shutting log-core down
[21:32:45] [INFO] received Windows console close event; shutting log-core down
[22:13:56] [INFO] received Windows console close event; shutting log-core down
[23:07:20] [INFO] received Windows console close event; shutting log-core down
[13:44:17] [INFO] received Windows console close event; shutting log-core down
[14:29:11] [INFO] received Windows console close event; shutting log-core down
[14:50:52] [INFO] received Windows console close event; shutting log-core down
[14:54:14] [INFO] received Windows console close event; shutting log-core down
[14:56:04] [INFO] received Windows console close event; shutting log-core down
[14:59:19] [INFO] received Windows console close event; shutting log-core down
[14:59:24] [INFO] received Windows console close event; shutting log-core down
[18:34:22] [INFO] received Windows console close event; shutting log-core down
[18:34:30] [INFO] received Windows console close event; shutting log-core down
[18:34:57] [INFO] received Windows console close event; shutting log-core down
[18:35:09] [INFO] received Windows console close event; shutting log-core down
[18:38:05] [INFO] received Windows console close event; shutting log-core down
[17:23:06] [INFO] received Windows console close event; shutting log-core down
[17:44:09] [INFO] received Windows console close event; shutting log-core down
[18:09:09] [INFO] received Windows console close event; shutting log-core down
[18:09:40] [INFO] received Windows console close event; shutting log-core down
[18:11:47] [INFO] received Windows console close event; shutting log-core down
[18:12:56] [INFO] received Windows console close event; shutting log-core down
[18:13:29] [INFO] received Windows console close event; shutting log-core down
[18:43:59] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:48:43] [INFO] received Windows console close event; shutting log-core down
[18:50:22] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:51:36] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:05:32] [INFO] received Windows console close event; shutting log-core down
[19:54:01] [INFO] received Windows console close event; shutting log-core down
[19:54:53] [INFO] received Windows console close event; shutting log-core down
[19:55:08] [INFO] received Windows console close event; shutting log-core down
[19:55:19] [INFO] received Windows console close event; shutting log-core down
[19:55:45] [INFO] received Windows console close event; shutting log-core down
[19:56:38] [INFO] received Windows console close event; shutting log-core down
[19:57:08] [INFO] received Windows console close event; shutting log-core down
[19:57:54] [INFO] received Windows console close event; shutting log-core down
[19:58:03] [INFO] received Windows console close event; shutting log-core down
[19:59:26] [INFO] received Windows console close event; shutting log-core down
[20:03:02] [INFO] received Windows console close event; shutting log-core down
[20:16:18] [INFO] received Windows console close event; shutting log-core down
[20:56:21] [INFO] received Windows console close event; shutting log-core down
[21:09:28] [INFO] received Windows console close event; shutting log-core down
[20:18:34] [INFO] received Windows console close event; shutting log-core down
[21:35:31] [INFO] received Windows console close event; shutting log-core down
[21:58:24] [INFO] received Windows console close event; shutting log-core down
[21:58:46] [INFO] received Windows console close event; shutting log-core down
[21:59:29] [INFO] received Windows console close event; shutting log-core down
[23:01:12] [INFO] received Windows console close event; shutting log-core down
[23:08:45] [INFO] received Windows console close event; shutting log-core down
[23:24:18] [INFO] received Windows console close event; shutting log-core down
[23:24:46] [INFO] received Windows console close event; shutting log-core down
[23:25:03] [INFO] received Windows console close event; shutting log-core down
[23:25:11] [INFO] received Windows console close event; shutting log-core down
[23:28:10] [INFO] received Windows console close event; shutting log-core down
[23:34:46] [INFO] received Windows console close event; shutting log-core down
[00:23:49] [INFO] received Windows console close event; shutting log-core down
[11:55:53] [INFO] received Windows console close event; shutting log-core down
[13:11:36] [INFO] received Windows console close event; shutting log-core down
[13:14:20] [INFO] received Windows console close event; shutting log-core down
[13:14:24] [INFO] received Windows console close event; shutting log-core down
[13:14:35] [INFO] received Windows console close event; shutting log-core down
[13:24:07] [INFO] received Windows console close event; shutting log-core down
[13:25:11] [INFO] received Windows console close event; shutting log-core down
[13:25:12] [INFO] received Windows console close event; shutting log-core down
[13:37:32] [INFO] received Windows console close event; shutting log-core down
[13:41:33] [INFO] received Windows console close event; shutting log-core down
[13:54:04] [INFO] received Windows console close event; shutting log-core down
[14:03:59] [INFO] received Windows console close event; shutting log-core down
[14:35:05] [INFO] received Windows console close event; shutting log-core down
[17:31:54] [INFO] received Windows console close event; shutting log-core down
[17:33:01] [INFO] received Windows console close event; shutting log-core down
[17:33:01] [INFO] received Windows console close event; shutting log-core down
[17:33:55] [INFO] received Windows console close event; shutting log-core down
[17:41:36] [INFO] received Windows console close event; shutting log-core down
